EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11325488,2020-10-15T10:34:12,-3.2484,100.3297,25.38,us,NEIC PDE,us,us6000c8hl,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11325618,2020-10-15T16:52:41,-0.4717,98.7326,38.34,us,NEIC PDE,us,us6000c8k2,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11325685,2020-10-15T22:06:27,-3.4216,100.0797,10,us,NEIC PDE,us,us6000c8m0,mb,4.5,us,"SOUTHERN SUMATRA, INDONESIA"
11326215,2020-10-17T00:36:01,-3.3122,100.2844,10,us,NEIC PDE,us,us6000c8w6,Mww,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11326421,2020-10-17T17:54:58,-3.2626,100.301,9.93,us,NEIC PDE,us,us6000c90z,Mww,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
11335397,2020-10-17T17:56:23,-3.2733,100.4042,10,us,NEIC PDE,us,us6000cbc9,mb,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
11330679,2020-10-17T23:26:56,-4.4845,102.6998,62.9,us,NEIC PDE,us,us6000cbca,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11326759,2020-10-18T22:48:50,-3.4021,100.2732,10,us,NEIC PDE,us,us6000c99g,mb,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11326871,2020-10-19T07:31:28,-3.3688,100.2689,10,"pt,at,us",NEIC PDE,us,"at00qifu8k,pt20293000,us6000c9ci",Mww,5.6,us,"SOUTHERN SUMATRA, INDONESIA"
11326874,2020-10-19T07:47:20,-3.3834,100.3424,10,us,NEIC PDE,us,us6000c9cs,Mww,5.5,us,"SOUTHERN SUMATRA, INDONESIA"
11326882,2020-10-19T08:14:04,-3.4128,100.3722,10,us,NEIC PDE,us,us6000c9cy,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11326909,2020-10-19T09:42:53,-3.3354,100.3183,19.29,us,NEIC PDE,us,us6000c9dx,mb,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11329036,2020-10-19T18:41:37,-1.6688,99.054,10,us,NEIC PDE,us,us6000cc2a,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
